STT,Domain,Mô tả chi tiết domain,Object,Mô tả chi tiết object,Properties xuất hiện,Lifecycle object,LinkType chính liên quan
11,,,Channel,"Kênh phát sinh tương tác/hồ sơ: PGD, app, MyF88, Zalo, web, telesales, partne...","channel_id, channel_name, channel_type, partner_id, status",Configured → Active → Inactive,"originates_from: Application phát sinh qua Channel
provided_by: Channel được ..."
12,,,Branch,"Phòng giao dịch vật lý của F88; là điểm xử lý hồ sơ, xác minh và ký hợp đồng.","branch_id, branch_code, branch_name, province, district, status",Opened → Active → Suspended → Closed,handled_at: Application được xử lý tại Branch
13,Campaign & Promotion,"Quản lý chiến dịch marketing, ưu đãi, thông điệp và phản hồi khách hàng tạo ra nhu cầu vay hoặc kích hoạt khách hàng quay lại. Domain này giúp kết nối intent/lead source với application, đo hiệu quả chiến dịch, phân biệt tín hiệu marketing với tín hiệu rủi ro và tránh dùng nhầm thông tin khuyến mại như feature mô hình nếu không có ý nghĩa rủi ro.",Campaign,"Chiến dịch marketing/bán hàng tạo nhu cầu, kích hoạt khách quay lại hoặc đo p...","campaign_id, campaign_name, target_segment, start_date, end_date, source_chan...",Planned → Running → Paused → Closed,"targets: Campaign nhắm tới Party
offers_promotion: Campaign có ưu đãi Promotion"
14,,,Promotion,Ưu đãi áp dụng cho sản phẩm/nhóm khách hàng; không tách product bundle nếu ch...,"promotion_id, promotion_name, discount_type, eligibility_condition, effective...",Draft → Active → Expired,offers_promotion: Campaign có ưu đãi Promotion
15,Loan Product & Configuration,"Quản lý cấu hình sản phẩm vay/cầm cố, policy sản phẩm, hạn mức, tenor, pricing, điều kiện eligibility và mapping score-to-offer. Domain này là lớp cấu hình quyết định cách A-score được chuyển hóa thành đề xuất hạn mức/offer/decision nhưng không phải tất cả thuộc tính cấu hình đều là feature mô hình.",Product,"Sản phẩm vay/cầm cố của F88, trọng tâm là vay theo giấy tờ/cavet xe máy hoặc ...","product_id, product_name, product_type, collateral_required, eligible_asset_t...",Configured → Active → Suspended → Retired,"has_config: Product có cấu hình ProductConfiguration
has_pricing: Product có ..."
16,,,ProductConfiguration,"Cấu hình sản phẩm: hạn mức, kỳ hạn, lãi/phí, điều kiện áp dụng.","config_id, product_id, max_amount, min_amount, tenor_range, interest_group, f...",Draft → Approved → Active → Superseded → Retired,has_config: Product có cấu hình ProductConfiguration
17,,,PricingRule,Rule tính lãi/phí/nhóm pricing cho sản phẩm.,"pricing_rule_id, product_id, interest_rate_group, fee_type, fee_value, effect...",Draft → Approved → Active → Retired,has_pricing: Product có pricing rule PricingRule
18,,,EligibilityRule,"Rule điều kiện áp dụng sản phẩm: tuổi, địa bàn, loại xe, giấy tờ xe, blacklis...","rule_id, product_id, rule_name, condition_expression, result_action, status",Draft → Approved → Active → Retired,"has_eligibility_rule: Product có điều kiện EligibilityRule
uses_rule: Eligibi..."
19,Loan Application,"Quản lý hồ sơ đăng ký vay từ lúc phát sinh nhu cầu, nộp thông tin, bổ sung giấy tờ, chấm điểm, phê duyệt đến khi tạo hợp đồng hoặc bị từ chối. Đây là domain trung tâm ở runtime của A-score vì Application là ngữ cảnh chấm điểm cụ thể, gom Party, sản phẩm, tài sản, kênh, consent, tài liệu và kết quả assessment.",Application,Hồ sơ vay/dịch vụ của Party. LoanRequest được gộp vào Application dưới dạng p...,"application_id, party_id, requested_amount, requested_tenor, loan_purpose, ch...",Draft → Submitted → UnderAssessment → Approved/Rejected → Closed,"submits: Party nộp Application
originates_from: Application phát sinh qua Cha..."
20,,,ApplicationDocument,"Tài liệu nộp trong hồ sơ: CCCD, GPLX, cavet xe, ảnh xe, chứng từ thu nhập.","document_id, application_id, document_type, file_url, upload_time, document_s...",Uploaded → OCRProcessed → Verified/Rejected,"contains_document: Application đính kèm ApplicationDocument
ocr_to: Applicati..."
21,,,EligibilityCheck,Kết quả kiểm tra điều kiện ban đầu của hồ sơ theo rule/policy.,"check_id, application_id, rule_id, check_type, result, reason_code, checked_at",Executed → Passed/Failed → Used,"checked_by: Application được kiểm tra bởi EligibilityCheck
uses_rule: Eligibi..."
22,Collateral & Asset,"Quản lý tài sản bảo đảm như xe máy/ô tô, giấy tờ xe, kết quả định giá, ownership, legal status và tình trạng tài sản. Domain này phục vụ collateral valuation, fraud/identity check, affordability và decision guardrail; các thuộc tính như giá trị tài sản, LTV, tình trạng giấy tờ có thể là feature quan trọng của A-score.",Asset,"Tài sản xe máy/ô tô thuộc Party, có thể dùng làm tài sản bảo đảm. Không tách ...","asset_id, party_id, asset_type, brand, model, manufacture_year, plate_number,...",Declared → Documented → Verified → Valuated → Released,"owns_asset: Party sở hữu/khai báo Asset
asset_documented_by: Asset có giấy tờ..."
23,,,AssetDocument,"Giấy tờ tài sản: cavet/đăng ký xe, giấy tờ sở hữu, ảnh giấy tờ. OwnershipEvid...","asset_document_id, asset_id, document_type, document_number, owner_name, owne...",Uploaded → OCRProcessed → Verified → Expired,asset_documented_by: Asset có giấy tờ AssetDocument
24,,,ValuationResult,"Kết quả định giá xe tại một thời điểm, phục vụ LTV/hạn mức/decision.","valuation_id, asset_id, market_value, collateral_value, ltv, valuation_date, ...",Requested → Calculated → Approved → Expired,"asset_valuated_by: Asset được định giá bởi ValuationResult
assessment_uses_va..."
25,Behavior,"Quản lý tín hiệu hành vi từ kênh số, Zalo, app, lịch sử tương tác, lịch sử thanh toán/thu hồi nếu có. Với khách mới, domain này tập trung vào digital/customer trust signals và marketing intent; với returning customer có thể mở rộng sang repayment/collection behavior. Cần phân biệt feature hành vi có ý nghĩa rủi ro với log raw chỉ phục vụ audit/monitoring.",DigitalAccount,"Tài khoản số của Party trên app, MyF88, Zalo, web, partner platform.","digital_account_id, party_id, platform_type, account_age, verification_level,...",Linked → Active → Suspended → Unlinked,"uses_digital_account: Party sử dụng DigitalAccount
creates_session: DigitalAc..."
26,,,Device,"Thiết bị Party sử dụng khi tương tác hoặc nộp hồ sơ, phục vụ device stability...","device_id, party_id, device_type, os, device_fingerprint, shared_device_flag",Detected → Linked → Trusted/Suspicious → Inactive,"uses_device: Party sử dụng thiết bị Device
device_contributes_signal: Device ..."
27,,,Session,Một phiên sử dụng nền tảng số.,"session_id, party_id, digital_account_id, start_time, end_time, duration, eve...",Started → Ended → Processed,"creates_session: DigitalAccount tạo phiên Session
contains_interaction: Sessi..."
28,,,Interaction,"Một hành vi/tương tác có ý nghĩa: xem offer, upload giấy tờ, gọi tư vấn, đến ...","interaction_id, party_id, channel_id, interaction_type, timestamp, outcome",Captured → Processed → Archived,"contains_interaction: Session gồm Interaction
creates_behavior_signal: Intera..."
29,,,BehavioralSignal,"Tín hiệu tổng hợp từ session/interaction/device/collection behavior, dùng cho...","signal_id, party_id, signal_type, signal_value, confidence_score, generated_a...",Generated → UsedForAssessment → Refreshed → Expired,"creates_behavior_signal: Interaction tạo tín hiệu BehavioralSignal
device_con..."
30,Credit Scoring & Risk Assessment,"Quản lý phiên đánh giá A-score/CTI, đầu vào đánh giá, kết quả score, risk grade, reason code và risk signal. Domain này là lõi vận hành của scoring: nhận dữ liệu đã chuẩn hóa, áp dụng rule/model/policy, sinh ScoreResult và cung cấp đầu ra cho Decision Engine/Underwriting.",Assessment,"Phiên đánh giá tổng thể cho Application/Party, gom dữ liệu KYC, income, asset...","assessment_id, application_id, party_id, assessment_type, status, completed_a...",Created → DataCollected → Evaluated → Completed → Archived,"application_initiates_assessment: Application khởi tạo Assessment
assessment_..."
31,,,ScoreResult,Kết quả điểm CTI/A-score/fraud score/returning score. ScoreExplanation được g...,"score_id, assessment_id, score_type, score_value, risk_grade, model_version_i...",Calculated → Published → Used → Expired,"assessment_produces_score: Assessment sinh ScoreResult
score_calculated_by: S..."
32,,,RiskSignal,"Tín hiệu rủi ro từ hồ sơ, thu nhập, xe, hành vi, lịch sử trả nợ.","risk_signal_id, assessment_id, signal_type, severity, source_object, value",Generated → Assessed → Used → Expired,assessment_produces_risk_signal: Assessment sinh RiskSignal
33,Model Management,"Quản lý vòng đời model, feature set, training/backtest dataset, model version, run log, metric và artifact registry. Domain này đảm bảo score có thể truy vết model nào tạo ra, dùng feature set nào, dữ liệu nào, hiệu năng ra sao và có thể rollback/replay khi cần.",ModelVersion,Phiên bản model dùng để tính ScoreResult.,"model_version_id, model_name, version, algorithm, training_period, status",Draft → Validated → Active → Deprecated → Retired,"score_calculated_by: ScoreResult được tính bởi ModelVersion
model_uses_featur..."
34,,,FeatureSet,Định nghĩa bộ feature sử dụng cho model. FeatureVector không tách object; sna...,"feature_set_id, feature_name_list, version, owner, effective_from",Draft → Approved → Active → Retired,model_uses_feature_set: ModelVersion sử dụng bộ feature FeatureSet
35,,,TrainingDataset,Bộ dữ liệu train/validation/backtest.,"dataset_id, dataset_name, period_from, period_to, label_definition, record_count",Created → Validated → Frozen → Archived,
36,,,ModelRunLog,Nhật ký một lần chạy model cho hồ sơ hoặc batch. ModelMetric được gộp vào đây...,"run_id, model_version_id, run_type, input_dataset_id, feature_snapshot, metri...",Created → Running → Completed/Failed → Archived,model_run_logged_by: ModelVersion được ghi run bởi ModelRunLog
37,Fraud Detection & Prevention,"Quản lý rule fraud, fraud signal và fraud case nhằm phát hiện gian lận định danh, giấy tờ, thiết bị, hành vi bất thường hoặc xung đột dữ liệu. Domain này thường tạo control/guardrail cho A-score: một số tín hiệu dùng trong model, một số dùng để chặn, route manual review hoặc sinh reason code.",FraudRule,Rule phát hiện gian lận dạng rule-based.,"fraud_rule_id, rule_name, condition_expression, severity, action, status",Draft → Approved → Active → Retired,fraud_rule_detects: FraudRule phát hiện FraudSignal
38,,,FraudSignal,"Tín hiệu gian lận từ blacklist flag, thiết bị, giấy tờ, hành vi, thông tin kh...","fraud_signal_id, party_id, application_id, fraud_type, severity, confidence_s...",Detected → Investigated → Confirmed/Dismissed → Used/Closed,"fraud_rule_detects: FraudRule phát hiện FraudSignal
fraud_signal_opens_case: ..."
39,,,FraudCase,Case điều tra fraud khi tín hiệu cần review thủ công.,"fraud_case_id, application_id, party_id, case_status, investigator, conclusion",Opened → Investigating → Confirmed/Dismissed → Closed,fraud_signal_opens_case: FraudSignal có thể mở case FraudCase
40,Limit & Exposure Management,"Quản lý hạn mức, dư nợ/exposure, kiểm tra limit và các ràng buộc danh mục trước quyết định. Domain này giúp bảo đảm score tốt không vượt qua risk appetite, hạn mức khách hàng/sản phẩm/kênh và exposure hiện tại; thường là decision input hoặc control hơn là feature trực tiếp.",LimitPolicy,"Chính sách hạn mức theo khách hàng, sản phẩm, kênh, danh mục.","limit_policy_id, policy_name, limit_type, threshold, effective_from, status",Draft → Approved → Active → Retired,limit_policy_controls: LimitPolicy chi phối LimitCheckResult
41,,,ExposureSnapshot,Snapshot dư nợ/exposure thực tế tại thời điểm đánh giá.,"exposure_snapshot_id, party_id, product_id, outstanding_amount, available_lim...",Generated → Used → Archived,exposure_supports_limit_check: ExposureSnapshot hỗ trợ kiểm tra LimitCheckResult
42,,,LimitCheckResult,Kết quả kiểm tra hạn mức trước approval/ký hợp đồng/giải ngân.,"limit_check_id, application_id, limit_type, result, breached_rule, checked_at",Executed → Passed/Failed → Used,"limit_policy_controls: LimitPolicy chi phối LimitCheckResult
exposure_support..."
43,Loan Approval & Underwriting,"Quản lý quyết định nghiệp vụ sau scoring: approve, reject, manual review, request supplement, tier approval và audit trail. Domain này ghi nhận cách score được sử dụng bởi Decision Engine/Underwriter, reason code, approver, policy/rule áp dụng và kết quả cuối cùng.",Decision,"Quyết định nghiệp vụ: approve, reject, manual review, request supplement. Dec...","decision_id, application_id, score_id, decision_type, reason_code, approver, ...",Proposed → Reviewed → Finalized → Audited,"score_supports_decision: ScoreResult hỗ trợ Decision
decision_finalizes_appli..."
44,,,ApprovalCase,Case phê duyệt nếu hồ sơ cần auto/manual/tier approval.,"approval_case_id, application_id, approval_level, assigned_to, status",Created → Assigned → Approved/Rejected → Closed,approval_case_reviews_application: ApprovalCase review hồ sơ Application
45,Loan Management Service,"Quản lý hợp đồng và tài khoản vay sau khi hồ sơ được phê duyệt/ký, bao gồm contract, loan account, disbursement và trạng thái khoản vay. Trong MVP A-score, domain này chủ yếu là output/ground truth và nguồn dữ liệu lịch sử cho huấn luyện/monitoring, không phải phạm vi chấm điểm runtime ban đầu.",Contract,Hợp đồng pháp lý giữa Party và F88 cho sản phẩm vay. Sau decision approved và...,"contract_id, party_id, application_id, product_id, contract_no, signed_at, st...",Draft → Signed → Active → Closed/Cancelled/WrittenOff,"decision_creates_contract: Decision tạo hợp đồng nếu approved Contract
contra..."
46,,,LoanAccount,Khoản vay đang được quản lý sau khi Contract active. Không nằm trong Loan App...,"loan_account_id, contract_id, principal_amount, outstanding_balance, loan_status",Created → Active → Closed/WrittenOff,"contract_creates_loan_account: Contract tạo khoản vay LoanAccount
loan_accoun..."
47,,,LoanAdjustment,"Điều chỉnh khoản vay: gia hạn, cơ cấu, miễn/giảm phí, tái lịch trình.","adjustment_id, loan_account_id, adjustment_type, reason, approval_status",Requested → Approved/Rejected → Applied,loan_adjustment_on_account: LoanAdjustment điều chỉnh LoanAccount
48,,,Settlement,Tất toán/quyết toán nghĩa vụ tài chính.,"settlement_id, contract_id, settlement_amount, settlement_date, settlement_ty...",Open → Calculated → Settled → Closed,settlement_closes_contract: Settlement tất toán Contract
49,,,RenewalCase,Tái tục/vay lại dựa trên khoản vay cũ và repayment profile.,"renewal_id, party_id, previous_contract_id, eligibility_result, status",Created → Offered → Accepted/Rejected,renewal_from_contract: RenewalCase dựa trên hợp đồng cũ Contract
50,Loan Repayment & Collection,"Quản lý lịch trả nợ, giao dịch thanh toán, nhắc nợ, hành vi thanh toán và hoạt động collection. Với A-score khách mới, domain này thường là nguồn label/outcome hoặc feature cho returning customer; với runtime new-to-F88, phần lớn thuộc tính repayment là dữ liệu hậu nghiệm nên không dùng trực tiếp trước quyết định.",RepaymentSchedule,Lịch trả nợ của khoản vay. ReminderSchedule không tách object; là communicati...,"repayment_schedule_id, contract_id, due_date, due_amount, principal_due, inte...",Generated → Active → Paid/Overdue → Completed,"loan_account_has_schedule: LoanAccount có lịch trả nợ RepaymentSchedule
sched..."
51,,,Installment,Một kỳ trả nợ cụ thể trong lịch.,"installment_id, schedule_id, due_date, amount_due, amount_paid, installment_s...",Upcoming → Due → Paid/Overdue,"schedule_has_installment: RepaymentSchedule gồm kỳ trả nợ Installment
install..."
52,,,PaymentTransaction,Giao dịch thanh toán của Party.,"payment_id, contract_id, amount, payment_date, payment_channel, allocation_st...",Initiated → Confirmed → Allocated → Reversed,loan_account_receives_payment: LoanAccount nhận thanh toán PaymentTransaction...
53,,,PaymentAllocation,Phân bổ tiền thanh toán vào gốc/lãi/phí/phạt.,"allocation_id, payment_id, principal_paid, interest_paid, fee_paid, penalty_paid",Created → Posted → Adjusted,payment_allocated_by: PaymentTransaction được phân bổ bởi PaymentAllocation
54,,,RepaymentProfile,Hồ sơ tổng hợp hành vi trả nợ của Party qua nhiều khoản vay.,"repayment_profile_id, party_id, ontime_ratio, avg_dpd, max_dpd, overdue_count",Created → Updated → Published → Expired,"payment_updates_profile: PaymentTransaction cập nhật RepaymentProfile
delinqu..."
55,Delinquency & Recovery,"Quản lý quá hạn, bucket DPD, nợ xấu, thu hồi và kết quả xử lý sau khi khoản vay phát sinh. Domain này là nguồn quan trọng để định nghĩa label, bad rate, model monitoring và backtest; chỉ dùng làm feature runtime nếu là khách có lịch sử F88/credit hợp lệ tại thời điểm chấm.",Delinquency,Trạng thái/quá trình quá hạn của khoản vay/kỳ thanh toán. Không nằm hẳn trong...,"delinquency_id, contract_id, installment_id, dpd, overdue_amount, bucket, sta...",Current → Overdue → Cured/Escalated → Closed,loan_account_may_enter_delinquency: LoanAccount có thể phát sinh quá hạn Deli...
56,,,CollectionCase,Hồ sơ xử lý thu hồi nợ khi quá hạn.,"collection_case_id, contract_id, assigned_agent, dpd_bucket, collection_status",Opened → Assigned → Contacted → Resolved/Escalated → Closed,"delinquency_opens_collection: Delinquency mở CollectionCase
collection_has_pt..."
57,,,PromiseToPay,Cam kết trả nợ của khách hàng trong collection.,"ptp_id, collection_case_id, promised_date, promised_amount, promise_status",Created → Fulfilled/Broken → Closed,collection_has_ptp: CollectionCase có cam kết PromiseToPay
58,,,RecoveryAction,"Hành động thu hồi: gọi điện, nhắn tin, xử lý tài sản, escalation.","action_id, collection_case_id, action_type, action_time, actor_id, result",Planned → Executed → Recorded,collection_has_action: CollectionCase có hành động RecoveryAction
59,,,WriteOffRecord,Ghi nhận khoản nợ xóa nợ/write-off.,"writeoff_id, contract_id, writeoff_amount, writeoff_reason, approved_by",Proposed → Approved → Posted,writeoff_from_delinquency: Delinquency có thể xóa nợ WriteOffRecord
60,Customer Communication & Notification,"Quản lý thông báo, tin nhắn, cuộc gọi, phản hồi và lịch sử giao tiếp với khách hàng trên các kênh như Zalo/SMS/app/call center. Domain này hỗ trợ intent, contactability, SLA, consent và audit; cần tách rõ nội dung raw với feature tổng hợp có ý nghĩa rủi ro.",CommunicationEvent,"Một lần giao tiếp với khách: SMS, app push, email, call, Zalo message, nhắc l...","communication_id, party_id, channel_id, message_type, sent_at, delivery_statu...",Created → Sent → Delivered/Failed → Archived,"communication_sent_to_party: CommunicationEvent gửi tới Party
template_create..."
61,,,NotificationTemplate,"Template thông báo: offer/decision, ký hợp đồng, thanh toán, trước hạn, đến h...","template_id, template_name, template_type, content_version, status",Draft → Approved → Active → Retired,template_creates_communication: NotificationTemplate tạo nội dung cho Communi...
62,,,CallRecord,Ghi nhận cuộc gọi tư vấn/nhắc nợ/chăm sóc.,"call_id, party_id, agent_id, call_type, call_result, call_time",Scheduled → Completed → Logged,call_records_communication: CallRecord ghi nhận cuộc gọi CommunicationEvent
63,Data Governance & Metadata,"Quản lý metadata, lineage, data quality, consent, audit log, policy version, owner và kiểm soát dữ liệu. Domain này bảo đảm A-score có thể giải thích, truy vết, kiểm toán, xử lý missing đúng chuẩn và tuân thủ quy định bảo vệ dữ liệu; đa số thuộc tính là control/monitoring chứ không phải feature mô hình.",ConsentRecord,Ghi nhận đồng ý xử lý dữ liệu cá nhân.,"consent_id, party_id, consent_type, consent_status, granted_at, revoked_at",Requested → Granted → Revoked/Expired,party_grants_consent: Party cấp consent ConsentRecord
64,,,DataAsset,Bảng/file/API/feature table được quản trị.,"data_asset_id, asset_name, asset_type, owner, sensitivity_level, status",Registered → Certified → Deprecated → Retired,data_asset_checked_by: DataAsset được kiểm tra bởi DataQualityCheck
65,,,DataQualityCheck,"Kiểm tra chất lượng dữ liệu: null, duplicate, format, range, freshness.","dq_check_id, data_asset_id, rule_name, result, score, checked_at",Scheduled → Executed → Passed/Failed,data_asset_checked_by: DataAsset được kiểm tra bởi DataQualityCheck
66,,,AuditLog,Nhật ký thay đổi quan trọng trên object/rule/score/decision.,"audit_id, object_type, object_id, action, actor, timestamp, before_value, aft...",Created → Stored → Archived,object_audited_by: AnyObject được audit bởi AuditLog
67,System Integration & API,"Quản lý API contract, request/response, inference log, feature snapshot, replay package, fallback/rollback và integration với LOS/Decision Engine/partner. Domain này giúp vận hành scoring ổn định ở runtime, kiểm soát lỗi, routing, SLA và khả năng replay; phần lớn thuộc tính là monitoring/audit/routing.",ExternalSystem,"Hệ thống ngoài: CIC, eKYC provider, payment gateway, bảo hiểm, đối tác.","system_id, system_name, system_type, owner, status",Registered → Active → Suspended → Retired,external_system_has_api: ExternalSystem cung cấp API APIEndpoint
68,,,APIEndpoint,API endpoint dùng để tích hợp dữ liệu/nghiệp vụ.,"endpoint_id, system_id, endpoint_name, method, auth_type, status",Designed → Published → Active → Deprecated,"external_system_has_api: ExternalSystem cung cấp API APIEndpoint
api_generate..."
69,,,IntegrationEvent,"Event trao đổi giữa hệ thống: request sent, response received, error, retry.","integration_event_id, endpoint_id, event_type, payload_ref, status, timestamp",Created → Sent → Acknowledged/Failed,"api_generates_event: APIEndpoint phát sinh event IntegrationEvent
integration..."
